0, 81, "chendu", "[images/1.jpg]"
1, 47, "riben", "[images/1.jpg]"
0, 81, "suzhou", "[images/1.jpg]"
1, 25, "shanghai", "[images/1.jpg]"
0, 56, "shanghai", "[images/1.jpg]"
1, 94, "beijing", "[images/1.jpg]"
0, 62, "riben", "[images/1.jpg]"
1, 28, "riben", "[images/1.jpg]"
0, 11, "shanghai", "[images/1.jpg]"
1, 37, "beijing", "[images/1.jpg]"
0, 95, "beijing", "[images/1.jpg]"
1, 28, "suzhou", "[images/1.jpg]"
0, 47, "chendu", "[images/1.jpg]"
1, 87, "suzhou", "[images/1.jpg]"
0, 90, "shanghai", "[images/1.jpg]"
1, 41, "suzhou", "[images/1.jpg]"
0, 87, "beijing", "[images/1.jpg]"
1, 29, "beijing", "[images/1.jpg]"
0, 37, "beijing", "[images/1.jpg]"
1, 85, "beijing", "[images/1.jpg]"
0, 13, "shanghai", "[images/1.jpg]"
1, 94, "suzhou", "[images/1.jpg]"
0, 33, "chendu", "[images/1.jpg]"
1, 78, "riben", "[images/1.jpg]"
0, 59, "suzhou", "[images/1.jpg]"
1, 57, "beijing", "[images/1.jpg]"
0, 89, "riben", "[images/1.jpg]"
1, 0, "shanghai", "[images/1.jpg]"
0, 88, "suzhou", "[images/1.jpg]"
1, 3, "shanghai", "[images/1.jpg]"
0, 51, "shanghai", "[images/1.jpg]"
1, 5, "beijing", "[images/1.jpg]"
0, 66, "suzhou", "[images/1.jpg]"
1, 61, "chendu", "[images/1.jpg]"
0, 83, "beijing", "[images/1.jpg]"
1, 63, "beijing", "[images/1.jpg]"
0, 2, "suzhou", "[images/1.jpg]"
1, 47, "riben", "[images/1.jpg]"
0, 77, "suzhou", "[images/1.jpg]"
1, 96, "shanghai", "[images/1.jpg]"
0, 23, "suzhou", "[images/1.jpg]"
1, 37, "suzhou", "[images/1.jpg]"
0, 41, "riben", "[images/1.jpg]"
1, 33, "suzhou", "[images/1.jpg]"
0, 91, "chendu", "[images/1.jpg]"
1, 78, "beijing", "[images/1.jpg]"
0, 46, "chendu", "[images/1.jpg]"
1, 40, "suzhou", "[images/1.jpg]"
0, 52, "suzhou", "[images/1.jpg]"
1, 5, "suzhou", "[images/1.jpg]"
0, 25, "beijing", "[images/1.jpg]"
1, 15, "chendu", "[images/1.jpg]"
0, 87, "shanghai", "[images/1.jpg]"
1, 10, "shanghai", "[images/1.jpg]"
0, 90, "chendu", "[images/1.jpg]"
1, 98, "suzhou", "[images/1.jpg]"
0, 91, "chendu", "[images/1.jpg]"
1, 84, "chendu", "[images/1.jpg]"
0, 67, "chendu", "[images/1.jpg]"
1, 71, "riben", "[images/1.jpg]"
0, 26, "chendu", "[images/1.jpg]"
1, 81, "riben", "[images/1.jpg]"
0, 66, "shanghai", "[images/1.jpg]"
1, 93, "beijing", "[images/1.jpg]"
0, 19, "beijing", "[images/1.jpg]"
1, 52, "shanghai", "[images/1.jpg]"
0, 85, "shanghai", "[images/1.jpg]"
1, 87, "riben", "[images/1.jpg]"
0, 28, "suzhou", "[images/1.jpg]"
1, 84, "suzhou", "[images/1.jpg]"
0, 24, "chendu", "[images/1.jpg]"
1, 12, "chendu", "[images/1.jpg]"
